match_id,tournament_id,match_number,match_date,match_type,team1_id,team2_id,winner_team_id,team1_score,team2_score,pool,venue,team1_hostel,team2_hostel,winner_hostel,team1_code,team2_code,winner_code,score_margin
1,3,M1,2025-04-11,Pool,1,3,1,3,0,A,NIT Kurukshetra Sports Complex,4,1,4,H7,H1,H7,3
7,3,SF1,2025-04-13,Semi-Final,1,4,1,3,0,,NIT Kurukshetra Sports Complex,4,5,4,H7,H8,H7,3
2,3,M2,2025-04-11,Pool,5,4,5,3,1,B,NIT Kurukshetra Sports Complex,7,5,7,H10A,H8,H10A,2
10,3,FINAL,2025-04-14,Final,1,5,5,3,2,,NIT Kurukshetra Sports Complex,4,7,7,H7,H10A,H10A,1
3,3,M3,2025-04-11,Pool,5,7,5,3,0,B,NIT Kurukshetra Sports Complex,7,3,7,H10A,H5,H10A,3
8,3,SF2,2025-04-13,Semi-Final,5,2,5,3,0,,NIT Kurukshetra Sports Complex,7,8,7,H10A,H10B,H10A,3
9,3,3RD,2025-04-14,3rd Place,2,4,2,3,0,,NIT Kurukshetra Sports Complex,8,5,8,H10B,H8,H10B,3
6,3,M6,2025-04-13,Pool,2,1,2,3,1,A,NIT Kurukshetra Sports Complex,8,4,8,H10B,H7,H10B,2
4,3,M4,2025-04-12,Pool,4,7,4,3,1,B,NIT Kurukshetra Sports Complex,5,3,5,H8,H5,H8,2
5,3,M5,2025-04-12,Pool,3,2,3,3,2,A,NIT Kurukshetra Sports Complex,1,8,1,H1,H10B,H1,1
